Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
;;;;;;
56;Prado Chaves – Diretoria 8º andar;Financeiro;Análise Financeira;2001 a 2004;;
56;Prado Chaves – Diretoria 8º andar;Imobili rio;Av. IV Centenário - Diversos;-;;
56;Prado Chaves – Diretoria 8º andar;Financeiro;Análise Financeira (2001-2004) / Av. IV Centenário;-;;
;;;;;;
57;Prado Chaves – Diretoria 8º andar;FIABCI;Correspondências 2004 / Diretório / Revistas Antigas;-;;
57;Prado Chaves – Diretoria 8º andar;FIABCI;Diretório / Revistas antigas;2004;;
;;;;;;
58;Prado Chaves – Diretoria 8º andar;Literatura;Livros: Ambientalismo Novo Colonialismo;-;;
58;Prado Chaves – Diretoria 8º andar;Literatura;120 Livros - Máfia Verde 2 - Novo Colonialismo;31/05/2006;;
59;Prado Chaves – Diretoria 8º andar;Literatura;Livros: Ambientalismo Novo Colonialismo;-;;
59;Prado Chaves – Diretoria 8º andar;Literatura;120 Livros - Máfia Verde 2 - Novo Colonialismo;31/05/2006;;
60;Prado Chaves – Diretoria 8º andar;Literatura;Livros: Lorenzo Carrasco - Ambientalismo;-;;
60;Prado Chaves – Diretoria 8º andar;Literatura;120 Livros - Máfia Verde 2 - Novo Colonialismo;31/05/2006;;
61;Prado Chaves – Diretoria 8º andar;Literatura;Livros: Máfia Verde (4ª Edição);-;;
61;Prado Chaves – Diretoria 8º andar;Literatura;84 Livros - Máfia Verde - 4ª Edição Ampliada;31/05/2006;;
62;Prado Chaves – Diretoria 8º andar;Literatura;Livros: Máfia Verde (4ª Edição);-;;
62;Prado Chaves – Diretoria 8º andar;Literatura;84 Livros - Máfia Verde - 4ª Edição Ampliada;31/05/2006;;
63;Prado Chaves – Diretoria 8º andar;Paulínia;Paulínia - Correspond ncias;1993 a 2005;;
64;Prado Chaves – Diretoria 8º andar;Paulínia;Paulicentro - Decretos / Estudos / Atas / Contratos;-;;
65;Prado Chaves – Diretoria 8º andar;Pessoal;São Paulo Golf Club / Club Athletico Paulistano / Plano Viagem;2001 a 2005;;
65;Prado Chaves – Diretoria 8º andar;Pessoal;São Paulo Golf Club / Club Athletico Paulistano / Plano de Viagem;2002-2005;;
66;Prado Chaves – Diretoria 8º andar;Literatura;Livros SFH (Material Sala Dr. Luiz Carlos);-;;
67;Prado Chaves – Diretoria 8º andar;Literatura;Livros SFH (Material Sala Dr. Luiz Carlos);-;;
68;Prado Chaves – Diretoria 8º andar;Corporativo;Lápis Johann Faber - Corresp Recebidas;1979 a Fev/2000;;
69;Prado Chaves – Diretoria 8º andar;Corporativo;Lápis Johann Faber - Corresp Expedidas;1979 a 1999;;
51;Prado Chaves – Diretoria 8º andar;FIABCI;Correspondências Recebidas e Expedidas;2001 a 2003; ;
52;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Molduras Diversas (Fundação Armando Alvares Penteado - CENAP (1999), Comercialização e Marketing - 4º Painel - Loteamentos Painéis de Mercado - Secovi (1992), Unibanco Ecologia - Riviera de São Lourenço (1995) - XII Encuentro Fiabci Cel Cono Sur (2002), 100 Grandes da Construção (1985) e Fluor Combate à Cárie Sim - Jornal da APCD);-; ;
53;Prado Chaves – Diretoria 8º andar;Não Identificado;Recortes de Jornais Diversos / Rua Dr. Sarmento;-; ;
54;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Rhodia Paulínia, Correspondências Recebidas, Expedidas, Contratos, Atas, Diversos / Paulicentro - Diversos, Atas Antigas, Relatórios, Graficos, Planilhas, Assuntos Diversos;-; ;
55;Prado Chaves – Diretoria 8º andar;Sobloco;Dr. Luiz Carlos - Correspondências Recebidas e Expedidas (1999 a 2003)/ Sobloco Construtora - Correspondências Recebidas e Expedidas (2002 a 2003), Documentos Legais, Diversos, Minutas, Contratos, Orçamentos ;1999 a 2003; ;
56;Prado Chaves – Diretoria 8º andar;Não identificado;Análise Financeira (2001 a 2004)/ Avenida IV Centenário - Diversos;2001 a 2004; ;
57;Prado Chaves – Diretoria 8º andar;FIABCI;Correspondências Recebidas e Expedidas 2004 / Diretório, Corporate Members, Novo Logo Fiabci / Revistas Antigas Diversas;-; ;
58;Prado Chaves – Diretoria 8º andar;Ambientalismo Novo Colonialismo;Livros: Ambientalismo Novo Colonialismo;-; ;
59;Prado Chaves – Diretoria 8º andar;Ambientalismo Novo Colonialismo;Livros: Ambientalismo Novo Colonialismo;-;;
60;Prado Chaves – Diretoria 8º andar;Ambientalismo;Lorenzo Carrasco - Livros Novo Ambientalismo Novo Colonialismo;-; ;
61;Prado Chaves – Diretoria 8º andar;Máfia Verde;Livros: Máfia Verde (4ª Edição);-; ;
62;Prado Chaves – Diretoria 8º andar;Máfia Verde;Livros: Máfia Verde (4ª Edição);-; ;
63;Prado Chaves – Diretoria 8º andar;Paulínia;Paulínia - Correspondências Expedidas e Recebidas de 1993 a 2005;1993 a 2005; ;
64;Prado Chaves – Diretoria 8º andar;Paulicentro;Paulicentro - Decretos / Documentos Legais / Estudos / Atas / Diversos / Contratos;-; ;
65;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;São Paulo Golf Club (2001 a 2005)/ Club Athletico Paulistano (2003 a 2005) / Plano Viagem (2002 a 2005);2001 a 2005; ;
66;Prado Chaves – Diretoria 8º andar;SFH;Livros SFH (Material Sala Dr. Luiz Carlos);-; ;
68;Prado Chaves – Diretoria 8º andar;Lápis Johann Faber;Lápis Johann Faber - Corresp Recebidas de 1979 a Fevereiro de 2000;1979 a Fev/2000; ;
69;Prado Chaves – Diretoria 8º andar;Lápis Johann Faber;Lápis Johann Faber - Corresp Expedidas de 1979 a 1999;1979 a 1999;;
70;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Secovi - Correspondências Recebidas de 2002 a 2004/ Sobloco - Correspondências Recebidas e Expedidas de 2004 a 2005/ Análise Financeira 2006;2002 a 2006; ;
71;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Club Athletico Paulistano - Correspondências Recebidas 2006 / Dr. Luiz Carlos Pereira de Almeida, Rua Antonio de Godoy / Ordens Pagamento de 2002 a 2007/ Assinaturas Canceladas ;2002 a 2007; ;
72;Prado Chaves – Diretoria 8º andar;Demão de Verde;Lorenzo Carrasco - 22 Livros Demão de Verde;-; ;
73;Prado Chaves – Diretoria 8º andar;Não identificado;Lorenzo Carrasco - Folhetos Irregular contra Des. do Brasil Jun 2001 EIR;-; ;
74;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Fundação 10 de Agosto - Correspondências Recebidas de 1992 a 2005 / Decreto 750/93 / Gerenciamento Costeiro / Adviser Consultores 1988;-; ;
75;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas das Gavetas: Aricanduva / Boulevard Morumbi Tabelas/ Caso Pedro Cesarino 1992 / Caso Pedreira / Caso Unipark / Caso Aveiro - Portugal / Caso ABNT / Caso White Martins / ETAE / CKL Auditores / Ciatec - Campinas / Experimento;-; ;
